name,genre,year,score,votes,director,writer,star,country,budget,gross,company,runtime,month,id
ThePeopleUndertheStairs,Comedy,1991,6.4,32000.0,WesCraven,WesCraven,BrandonQuintinAdams,UnitedStates,6000000.0,31347154.0,UniversalPictures,102.0,November,1037
RegardingHenry,Drama,1991,6.7,30000.0,MikeNichols,JJAbrams,HarrisonFord,UnitedStates,25000000.0,43001500.0,ParamountPictures,108.0,July,1038
Bugsy,Biography,1991,6.8,27000.0,BarryLevinson,JamesToback,WarrenBeatty,UnitedStates,30000000.0,49114016.0,TriStarPictures,136.0,December,1039
DocHollywood,Comedy,1991,6.2,34000.0,MichaelCaton-Jones,NeilBShulman,MichaelJFox,UnitedStates,20000000.0,54830779.0,WarnerBros,104.0,August,1040
NightonEarth,Comedy,1991,7.7,57000.0,JimJarmusch,JimJarmusch,WinonaRyder,France,3500000.0,2023808.0,VictorCompanyofJapan(JVC),129.0,December,1041
ChildsPlay3,Horror,1991,5.1,37000.0,JackBender,DonMancini,JustinWhalin,UnitedKingdom,13000000.0,20560255.0,UniversalPictures,90.0,August,1042
FreddysDead:TheFinalNightmare,Fantasy,1991,4.9,43000.0,RachelTalalay,WesCraven,RobertEnglund,UnitedStates,11000000.0,34872033.0,NewLineCinema,89.0,September,1043
Oscar,Comedy,1991,6.5,30000.0,JohnLandis,ClaudeMagnier,SylvesterStallone,UnitedStates,35000000.0,23562716.0,JosephSVecchioEntertainment,109.0,April,1044
TheLoversontheBridge,Drama,1991,7.6,13000.0,LeosCarax,LeosCarax,JulietteBinoche,France,28000000.0,29679.0,FilmsA2,125.0,July,1045
HighlanderII:TheQuickening,Action,1991,4.2,44000.0,RussellMulcahy,GregoryWiden,ChristopherLambert,UnitedKingdom,30000000.0,15556340.0,Davis-PanzerProductions,91.0,November,1046
StoneCold,Action,1991,6.0,7300.0,CraigRBaxley,WalterDoniger,BrianBosworth,UnitedStates,17000000.0,9151887.0,StoneGroupPictures,92.0,May,1047
ShowdowninLittleTokyo,Action,1991,6.1,17000.0,MarkLLester,StephenGlantz,DolphLundgren,UnitedStates,8000000.0,2275557.0,LittleTokyoProductions,79.0,August,1048
JungleFever,Drama,1991,6.6,17000.0,SpikeLee,SpikeLee,WesleySnipes,UnitedStates,14000000.0,43882682.0,UniversalPictures,132.0,June,1049
HarleyDavidsonandtheMarlboroMan,Action,1991,6.1,19000.0,SimonWincer,DonMichaelPaul,MickeyRourke,UnitedStates,23000000.0,7434726.0,Krisjair,98.0,August,1050
FlightoftheIntruder,Action,1991,5.8,6600.0,JohnMilius,StephenCoonts,DannyGlover,UnitedStates,35000000.0,14587732.0,ParamountPictures,115.0,January,1051
ProblemChild2,Comedy,1991,4.9,21000.0,BrianLevant,ScottAlexander,JohnRitter,UnitedStates,15000000.0,32704700.0,UniversalPictures,90.0,July,1052
TheHardWay,Action,1991,6.4,19000.0,JohnBadham,LemDobbs,MichaelJFox,UnitedStates,24000000.0,65595485.0,UniversalPictures,111.0,March,1053
Rush,Action,1991,6.8,8200.0,LiliFiniZanuck,KimWozencraft,JasonPatric,UnitedStates,17000000.0,7241350.0,Metro-Goldwyn-Mayer(MGM),120.0,January,1054
DeadAgain,Crime,1991,6.9,27000.0,KennethBranagh,ScottFrank,KennethBranagh,UnitedStates,15000000.0,38016380.0,ParamountPictures,107.0,August,1055
OutforJustice,Action,1991,6.1,22000.0,JohnFlynn,RLanceHill,StevenSeagal,UnitedStates,14000000.0,39673161.0,ArnoldKopelsonProductions,91.0,April,1056
TheIndianRunner,Drama,1991,7.0,8600.0,SeanPenn,SeanPenn,DavidMorse,UnitedStates,7000000.0,191125.0,ColumbiaPictures,127.0,September,1057
LifeStinks,Comedy,1991,5.9,9800.0,MelBrooks,MelBrooks,MelBrooks,UnitedStates,13000000.0,4102526.0,Brooksfilms,92.0,July,1058
FrankieandJohnny,Comedy,1991,6.7,30000.0,GarryMarshall,TerrenceMcNally,AlPacino,UnitedStates,29000000.0,22773535.0,ParamountPictures,118.0,October,1059
Soapdish,Comedy,1991,6.6,15000.0,MichaelHoffman,RobertHarling,SallyField,UnitedStates,25000000.0,36489888.0,ParamountPictures,97.0,May,1060
CurlySue,Comedy,1991,5.9,21000.0,JohnHughes,JohnHughes,JimBelushi,UnitedStates,25000000.0,33691313.0,WarnerBros,101.0,October,1061
Mannequin:ontheMove,Comedy,1991,4.4,5800.0,StewartRaffill,EdwardRugoff,KristySwanson,UnitedStates,13000000.0,3752428.0,GladdenEntertainment,95.0,May,1062
Rock-A-Doodle,Animation,1991,6.1,8800.0,DonBluth,DonBluth,GlenCampbell,Ireland,18000000.0,11657385.0,GoldcrestFilmsInternational,77.0,April,1063
NecessaryRoughness,Comedy,1991,6.2,11000.0,StanDragoti,RickNatkin,ScottBakula,UnitedStates,13500000.0,26255594.0,ParamountPictures,108.0,September,1064
CoolasIce,Comedy,1991,2.9,9100.0,DavidKellogg,DavidStenn,VanillaIce,UnitedStates,6000000.0,1193062.0,AliveFilms,91.0,October,1065
Switch,Comedy,1991,5.8,9100.0,BlakeEdwards,BlakeEdwards,EllenBarkin,UnitedStates,14000000.0,15545943.0,BecoFilms,103.0,May,1066
WhiteFang,Adventure,1991,6.7,20000.0,RandalKleiser,JackLondon,EthanHawke,UnitedStates,14000000.0,34793160.0,WaltDisneyPictures,107.0,January,1067
UntiltheEndoftheWorld,Action,1991,6.8,9500.0,WimWenders,PeterCarey,WilliamHurt,Germany,23000000.0,829625.0,ArgosFilms,158.0,December,1068
Dutch,Comedy,1991,6.5,12000.0,PeterFaiman,JohnHughes,EdONeill,UnitedStates,17000000.0,4603929.0,TwentiethCenturyFox,107.0,July,1069
Shattered,Crime,1991,6.5,8900.0,WolfgangPetersen,RichardNeely,TomBerenger,UnitedStates,22000000.0,11511031.0,CapellaInternational,98.0,October,1070
Mobsters,Crime,1991,6.0,8600.0,MichaelKarbelnikoff,MichaelMahern,ChristianSlater,UnitedStates,23000000.0,20246790.0,UniversalPictures,104.0,July,1071
DyingYoung,Drama,1991,6.1,15000.0,JoelSchumacher,MartiLeimbach,JuliaRoberts,UnitedStates,18000000.0,82264675.0,FogwoodFilms,111.0,June,1072
Delirious,Comedy,1991,5.9,8000.0,TomMankiewicz,LawrenceJCohen,JohnCandy,UnitedStates,18000000.0,5546827.0,Metro-Goldwyn-Mayer(MGM),96.0,August,1073
LittleManTate,Drama,1991,6.6,14000.0,JodieFoster,ScottFrank,JodieFoster,UnitedStates,10000000.0,25010896.0,OrionPictures,99.0,November,1074
ShadowsandFog,Comedy,1991,6.7,16000.0,WoodyAllen,WoodyAllen,WoodyAllen,UnitedStates,14000000.0,2735731.0,JackRollins&CharlesHJoffeProductions,85.0,March,1075
ShakestheClown,Comedy,1991,5.6,4700.0,BobcatGoldthwait,BobcatGoldthwait,BobcatGoldthwait,UnitedStates,1400000.0,115103.0,IRSMedia,87.0,March,1076
BillyBathgate,Crime,1991,5.9,11000.0,RobertBenton,ELDoctorow,DustinHoffman,UnitedStates,48000000.0,15565363.0,TouchstonePictures,106.0,November,1077
Kafka,Drama,1991,6.9,9600.0,StevenSoderbergh,LemDobbs,JeremyIrons,France,11000000.0,1059071.0,BaltimorePictures,98.0,November,1078
JohnnySuede,Comedy,1991,5.8,3800.0,TomDiCillo,TomDiCillo,BradPitt,Switzerland,500000.0,90091.0,Arena,97.0,April,1079
MysteryDate,Comedy,1991,6.0,2700.0,JonathanWacks,ParkerBennett,EthanHawke,UnitedStates,10000000.0,6166819.0,OrionPictures,97.0,August,1080
TheMarryingMan,Comedy,1991,5.8,5300.0,JerryRees,NeilSimon,KimBasinger,UnitedStates,26000000.0,12454768.0,HollywoodPictures,115.0,April,1081
Poison,Drama,1991,6.4,4100.0,ToddHaynes,JeanGenet,EdithMeeks,UnitedStates,250000.0,787280.0,BronzeEyeProductions,85.0,August,1082
KingRalph,Comedy,1991,5.3,15000.0,DavidSWard,EmlynWilliams,JohnGoodman,UnitedStates,23000000.0,52487045.0,UniversalPictures,97.0,February,1083
HouseParty2,Comedy,1991,5.3,6100.0,GeorgeJackson,ReginaldHudlin,ChristopherReid,UnitedStates,5000000.0,19438638.0,"Jackson/McHenryCompany,The",94.0,October,1084
ThePerfectWeapon,Action,1991,6.0,3800.0,MarkDiSalle,DavidCWilson,JeffSpeakman,UnitedStates,10000000.0,14061361.0,ParamountPictures,83.0,March,1085
UnderSuspicion,Crime,1991,6.5,3800.0,SimonMoore,SimonMoore,LiamNeeson,UnitedKingdom,6000000.0,221295.0,CarnivalFilm&Television,99.0,February,1086
ThePrincessandtheGoblin,Animation,1991,6.8,2600.0,JozsefGemes,RobinLyons,ClaireBloom,UnitedKingdom,10000000.0,2105078.0,SiriolProductions,82.0,June,1087
RamblingRose,Drama,1991,6.6,4700.0,MarthaCoolidge,CalderWillingham,LauraDern,UnitedStates,7500000.0,6266621.0,CarolcoPictures,112.0,September,1088
PureLuck,Comedy,1991,5.8,6700.0,NadiaTass,FrancisVeber,MartinShort,UnitedStates,17010000.0,24941969.0,Hivemind,96.0,August,1089
F/X2,Action,1991,5.9,9000.0,RichardFranklin,RobertTMegginson,BryanBrown,UnitedStates,16400000.0,21082165.0,OrionPictures,108.0,May,1090
MortalThoughts,Mystery,1991,5.7,8400.0,AlanRudolph,WilliamReilly,DemiMoore,UnitedStates,8000000.0,18784957.0,ColumbiaPictures,103.0,April,1091
AnotherYou,Comedy,1991,5.4,3700.0,MauricePhillips,ZiggySteinberg,RichardPryor,UnitedStates,17000000.0,2865916.0,TriStarPictures,98.0,July,1092
FortheBoys,Comedy,1991,6.4,5300.0,MarkRydell,NealJimenez,BetteMidler,UnitedStates,40000000.0,23202444.0,AllGirlProductions,138.0,November,1093
Beastmaster2:ThroughthePortalofTime,Action,1991,4.1,3000.0,SylvioTabet,AndreNorton,MarcSinger,UnitedStates,6000000.0,869325.0,LesFilms21,107.0,August,1094
EveofDestruction,Action,1991,4.9,2100.0,DuncanGibbins,DuncanGibbins,GregoryHines,UnitedStates,13000000.0,5451119.0,NelsonEntertainment,99.0,January,1095
ARageinHarlem,Comedy,1991,5.9,2000.0,BillDuke,ChesterHimes,ForestWhitaker,UnitedKingdom,8000000.0,10438504.0,PalacePictures,115.0,May,1096
TheSuper,Comedy,1991,5.6,5400.0,RodDaniel,SamSimon,JoePesci,UnitedStates,22000000.0,11000863.0,LargoEntertainment,95.0,October,1097
AtPlayintheFieldsoftheLord,Drama,1991,6.8,3100.0,HectorBabenco,PeterMatthiessen,TomBerenger,UnitedStates,36000000.0,1345903.0,TheSaulZaentzCompany,189.0,December,1098
TrueColors,Drama,1991,6.3,5000.0,HerbertRoss,KevinWade,JohnCusack,UnitedStates,20000000.0,418807.0,ParamountPictures,111.0,March,1099
AKissBeforeDying,Crime,1991,5.7,5100.0,JamesDearden,IraLevin,MattDillon,UnitedKingdom,15000000.0,15429177.0,UniversalPictures,94.0,April,1100
Bingo,Adventure,1991,4.9,2700.0,MatthewRobbins,JimStrain,CindyWilliams,UnitedStates,10000000.0,8667684.0,TriStarPictures,89.0,August,1101
BodyParts,Horror,1991,5.6,4100.0,EricRed,PierreBoileau,JeffFahey,UnitedStates,10000000.0,9188150.0,ParamountPictures,88.0,August,1102
OneGoodCop,Action,1991,5.9,3900.0,HeywoodGould,HeywoodGould,MichaelKeaton,UnitedStates,4000000.0,11276846.0,HollywoodPictures,114.0,May,1103
OnceAround,Comedy,1991,6.5,4100.0,LasseHallstrom,MaliaScotchMarmo,RichardDreyfuss,UnitedStates,16000000.0,14851083.0,CinecomEntertainmentGroup,115.0,February,1104
TheTakingofBeverlyHills,Action,1991,5.1,1100.0,SidneyJFurie,SidneyJFurie,KenWahl,UnitedStates,19000000.0,939277.0,NelsonEntertainment,96.0,October,1105
Run,Action,1991,6.2,2600.0,GeoffBurrowes,DennisShryack,PatrickDempsey,UnitedStates,16000000.0,4409328.0,HollywoodPictures,91.0,February,1106
CompanyBusiness,Action,1991,5.6,2600.0,NicholasMeyer,NicholasMeyer,GeneHackman,UnitedStates,18000000.0,1501785.0,PatheEntertainment,98.0,September,1107
CityofHope,Crime,1991,7.3,2300.0,JohnSayles,JohnSayles,VincentSpano,UnitedStates,3000000.0,1345015.0,EsperanzaFilmsInc,129.0,November,1108
Liebestraum,Mystery,1991,5.9,1500.0,MikeFiggis,MikeFiggis,KevinAnderson,UnitedStates,6900000.0,133645.0,InitialEntertainmentGroup(IEG),112.0,November,1109
ClosetLand,Drama,1991,7.1,2700.0,RadhaBharadwaj,RadhaBharadwaj,MadeleineStowe,UnitedStates,4000000.0,259012.0,ImagineEntertainment,89.0,March,1110
LateforDinner,Drama,1991,6.4,1700.0,WDRichter,MarkAndrus,PeterBerg,UnitedStates,14000000.0,8906823.0,CastleRockEntertainment,99.0,September,1111
ReservoirDogs,Crime,1992,8.3,943000.0,QuentinTarantino,QuentinTarantino,HarveyKeitel,UnitedStates,1200000.0,2913644.0,LiveEntertainment,99.0,September,1112
BasicInstinct,Drama,1992,7.0,186000.0,PaulVerhoeven,JoeEszterhas,MichaelDouglas,UnitedStates,49000000.0,352927224.0,CarolcoPictures,127.0,March,1113
Candyman,Horror,1992,6.6,74000.0,BernardRose,CliveBarker,VirginiaMadsen,UnitedStates,6000000.0,25795897.0,CandymanFilms,99.0,October,1114
MyCousinVinny,Comedy,1992,7.6,112000.0,JonathanLynn,DaleLauner,JoePesci,UnitedStates,11000000.0,64088552.0,TwentiethCenturyFox,120.0,March,1115
TheLastoftheMohicans,Action,1992,7.7,156000.0,MichaelMann,JamesFenimoreCooper,DanielDay-Lewis,UnitedStates,40000000.0,75505856.0,MorganCreekEntertainment,112.0,September,1116
Dracula,Horror,1992,7.4,199000.0,FrancisFordCoppola,BramStoker,GaryOldman,UnitedKingdom,40000000.0,215862692.0,AmericanZoetrope,128.0,November,1117
Unforgiven,Drama,1992,8.2,385000.0,ClintEastwood,DavidWebbPeoples,ClintEastwood,UnitedStates,14400000.0,159157447.0,WarnerBros,130.0,August,1118
AFewGoodMen,Drama,1992,7.7,242000.0,RobReiner,AaronSorkin,TomCruise,UnitedStates,41000000.0,243240178.0,ColumbiaPictures,138.0,December,1119
ALeagueofTheirOwn,Comedy,1992,7.3,97000.0,PennyMarshall,KimWilson,TomHanks,UnitedStates,40000000.0,132440069.0,ColumbiaPictures,128.0,July,1120
TheBodyguard,Action,1992,6.3,124000.0,MickJackson,LawrenceKasdan,KevinCostner,UnitedStates,25000000.0,411006740.0,KasdanPictures,129.0,November,1121
ScentofaWoman,Drama,1992,8.0,274000.0,MartinBrest,GiovanniArpino,AlPacino,UnitedStates,31000000.0,134095253.0,UniversalPictures,156.0,January,1122
BatmanReturns,Action,1992,7.0,280000.0,TimBurton,BobKane,MichaelKeaton,UnitedStates,80000000.0,266892996.0,WarnerBros,126.0,June,1123
TheMightyDucks,Comedy,1992,6.6,62000.0,StephenHerek,StevenBrill,EmilioEstevez,UnitedStates,10000000.0,50752337.0,Avnet/KernerProductions,104.0,October,1124
Aladdin,Animation,1992,8.0,382000.0,RonClements,RonClements,ScottWeinger,UnitedStates,28000000.0,504050219.0,WaltDisneyPictures,90.0,November,1125
SisterAct,Comedy,1992,6.4,91000.0,EmileArdolino,PaulRudnick,WhoopiGoldberg,UnitedStates,31000000.0,231605150.0,TouchstonePictures,100.0,May,1126
Alien3,Action,1992,6.5,284000.0,DavidFincher,DanOBannon,SigourneyWeaver,UnitedStates,50000000.0,159814498.0,TwentiethCenturyFox,114.0,May,1127
DeathBecomesHer,Comedy,1992,6.6,108000.0,RobertZemeckis,MartinDonovan,MerylStreep,UnitedStates,55000000.0,149022650.0,UniversalPictures,104.0,July,1128
FarandAway,Adventure,1992,6.6,60000.0,RonHoward,BobDolman,TomCruise,UnitedStates,60000000.0,137783840.0,ImagineFilmsEntertainment,140.0,May,1129
UnderSiege,Action,1992,6.5,80000.0,AndrewDavis,JFLawton,StevenSeagal,France,35000000.0,156563139.0,WarnerBros,103.0,October,1130
DeepCover,Action,1992,6.9,9500.0,BillDuke,MichaelTolkin,LaurenceFishburne,UnitedStates,8000000.0,16639799.0,ImageOrganization,107.0,April,1131
SingleWhiteFemale,Drama,1992,6.4,34000.0,BarbetSchroeder,JohnLutz,BridgetFonda,UnitedStates,16000000.0,48017402.0,ColumbiaPictures,107.0,August,1132
CoolWorld,Animation,1992,4.9,22000.0,RalphBakshi,MichaelGrais,GabrielByrne,UnitedStates,30000000.0,14110589.0,BakshiAnimation,102.0,July,1133
GlengarryGlenRoss,Crime,1992,7.7,98000.0,JamesFoley,DavidMamet,AlPacino,UnitedStates,12500000.0,10725228.0,NewLineCinema,100.0,October,1134
WaynesWorld,Comedy,1992,7.0,148000.0,PenelopeSpheeris,MikeMyers,MikeMyers,UnitedStates,20000000.0,183097323.0,ParamountPictures,94.0,February,1135
ArmyofDarkness,Comedy,1992,7.5,166000.0,SamRaimi,SamRaimi,BruceCampbell,UnitedStates,11000000.0,11502976.0,DinoDeLaurentiisCompany,81.0,February,1136
ARiverRunsThroughIt,Drama,1992,7.2,55000.0,RobertRedford,NormanMaclean,CraigSheffer,UnitedStates,12000000.0,43440294.0,AlliedFilmmakers,123.0,October,1137
TwinPeaks:FireWalkwithMe,Drama,1992,7.3,89000.0,DavidLynch,DavidLynch,SherylLee,France,10000000.0,4184990.0,NewLineCinema,134.0,August,1138
UniversalSoldier,Action,1992,6.0,85000.0,RolandEmmerich,RichardRothstein,Jean-ClaudeVanDamme,UnitedStates,23000000.0,36299898.0,StudioCanal,102.0,July,1139
BuffytheVampireSlayer,Action,1992,5.7,41000.0,FranRubelKuzui,JossWhedon,KristySwanson,UnitedStates,7000000.0,16624456.0,TwentiethCenturyFox,86.0,July,1140
Sleepwalkers,Fantasy,1992,5.3,21000.0,MickGarris,StephenKing,BrianKrause,UnitedStates,15000000.0,30524763.0,ColumbiaPictures,91.0,April,1141
Chaplin,Biography,1992,7.5,55000.0,RichardAttenborough,DavidRobinson,RobertDowneyJr,UnitedKingdom,31000000.0,9493259.0,CarolcoPictures,143.0,January,1142
HomeAlone2:LostinNewYork,Adventure,1992,6.8,318000.0,ChrisColumbus,JohnHughes,MacaulayCulkin,UnitedStates,28000000.0,358994850.0,TwentiethCenturyFox,120.0,November,1143
TheHandThatRockstheCradle,Drama,1992,6.6,40000.0,CurtisHanson,AmandaSilver,AnnabellaSciorra,UnitedStates,11700000.0,88036683.0,HollywoodPictures,110.0,January,1144
Newsies,Drama,1992,6.9,19000.0,KennyOrtega,BobTzudiker,ChristianBale,UnitedStates,15000000.0,2819485.0,TouchwoodPacificPartners1,121.0,April,1145
MalcolmX,Biography,1992,7.7,89000.0,SpikeLee,AlexHaley,DenzelWashington,Japan,33000000.0,48169910.0,LargoInternationalNV,202.0,November,1146
PatriotGames,Action,1992,6.9,106000.0,PhillipNoyce,TomClancy,HarrisonFord,UnitedStates,45000000.0,178051587.0,MaceNeufeldProductions,117.0,June,1147
DeadAlive,Comedy,1992,7.5,93000.0,PeterJackson,StephenSinclair,TimothyBalme,NewZealand,3000000.0,242623.0,WingNutFilms,104.0,February,1148
PoisonIvy,Drama,1992,5.4,18000.0,KattShea,MelissaGoddard,DrewBarrymore,UnitedStates,3000000.0,1829804.0,NewLineCinema,93.0,May,1149
Sneakers,Comedy,1992,7.1,54000.0,PhilAldenRobinson,PhilAldenRobinson,RobertRedford,UnitedStates,23000000.0,105232691.0,Parkes/Laskerproductions,126.0,September,1150
TheLawnmowerMan,Horror,1992,5.4,34000.0,BrettLeonard,StephenKing,JeffFahey,UnitedKingdom,10000000.0,32100816.0,AlliedVision,108.0,March,1151
ThePlayer,Comedy,1992,7.5,56000.0,RobertAltman,MichaelTolkin,TimRobbins,UnitedStates,8000000.0,21706101.0,AvenuePictures,124.0,May,1152
EncinoMan,Comedy,1992,5.8,38000.0,LesMayfield,GeorgeZaloom,SeanAstin,UnitedStates,7000000.0,40693477.0,EncinoManProductions,88.0,May,1153
LethalWeapon3,Action,1992,6.7,160000.0,RichardDonner,JeffreyBoam,MelGibson,UnitedStates,35000000.0,321731527.0,WarnerBros,118.0,May,1154
AmericanMe,Biography,1992,7.2,8600.0,EdwardJamesOlmos,FloydMutrux,EdwardJamesOlmos,UnitedStates,16000000.0,13086430.0,Hivemind,125.0,March,1155
ElMariachi,Action,1992,6.9,64000.0,RobertRodriguez,RobertRodriguez,CarlosGallardo,Mexico,7000.0,2040920.0,ColumbiaPictures,81.0,February,1156
BitterMoon,Drama,1992,7.2,37000.0,RomanPolanski,PascalBruckner,HughGrant,France,5000000.0,1862805.0,Canal+,139.0,March,1157
PetSemataryII,Fantasy,1992,4.9,20000.0,MaryLambert,RichardOutten,EdwardFurlong,UnitedStates,8000000.0,17092453.0,ParamountPictures,100.0,August,1158
BadLieutenant,Crime,1992,7.1,40000.0,AbelFerrara,ZoeLund,HarveyKeitel,UnitedStates,1000000.0,2038916.0,BadLtProductions,96.0,December,1159
FernGully:TheLastRainforest,Animation,1992,6.5,28000.0,BillKroyer,JimCox,SamanthaMathis,Australia,24000000.0,32710894.0,FAIFilms,76.0,April,1160
HouseSitter,Comedy,1992,6.1,23000.0,FrankOz,MarkStein,SteveMartin,UnitedStates,26000000.0,94900635.0,ImagineEntertainment,102.0,June,1161
SchoolTies,Drama,1992,6.9,23000.0,RobertMandel,DickWolf,BrendanFraser,UnitedStates,18000000.0,14715067.0,ParamountPictures,106.0,September,1162
Hoffa,Biography,1992,6.6,22000.0,DannyDeVito,DavidMamet,JackNicholson,UnitedStates,35000000.0,29302121.0,TwentiethCenturyFox,140.0,December,1163
Juice,Action,1992,7.1,25000.0,ErnestRDickerson,ErnestRDickerson,OmarEpps,UnitedStates,5000000.0,20146880.0,IslandWorld,95.0,January,1164
3Ninjas,Action,1992,5.3,21000.0,JonTurteltaub,KennyKim,VictorWong,UnitedStates,6500000.0,29000301.0,TouchstonePictures,84.0,August,1165
HellraiserIII:HellonEarth,Horror,1992,5.5,28000.0,AnthonyHickox,PeterAtkins,TerryFarrell,UnitedStates,5000000.0,12534961.0,FifthAvenueEntertainment,97.0,September,1166
BodyofEvidence,Drama,1992,4.5,14000.0,UliEdel,BradMirman,Madonna,Germany,30000000.0,13273595.0,ConstantinFilm,99.0,January,1167
"Honey,IBlewUptheKid",Adventure,1992,4.9,42000.0,RandalKleiser,StuartGordon,RickMoranis,UnitedStates,40000000.0,58662452.0,TouchwoodPacificPartners1,89.0,July,1168
CaptainRon,Adventure,1992,5.8,21000.0,ThomEberhardt,JohnDwyer,KurtRussell,UnitedStates,24000000.0,22518097.0,TouchstonePictures,100.0,September,1169
Passenger57,Action,1992,5.9,46000.0,KevinHooks,StewartRaffill,WesleySnipes,UnitedStates,15000000.0,44065653.0,WarnerBros,84.0,November,1170
ChildrenoftheCornII:theFinalSacrifice,Horror,1992,4.3,7900.0,DavidPrice,ALKatz,TerenceKnox,UnitedStates,900000.0,6980986.0,FifthAvenueEntertainment,92.0,January,1171
RadioFlyer,Drama,1992,7.0,13000.0,RichardDonner,DavidMickeyEvans,LorraineBracco,UnitedStates,35000000.0,4651977.0,ColumbiaPictures,114.0,February,1172
RaisingCain,Crime,1992,6.1,15000.0,BrianDePalma,BrianDePalma,JohnLithgow,UnitedStates,12000000.0,37170057.0,PacificWestern,92.0,August,1173
Orlando,Biography,1992,7.2,15000.0,SallyPotter,VirginiaWoolf,TildaSwinton,UnitedKingdom,4000000.0,5378172.0,AdventurePictures,94.0,June,1174
Gladiator,Action,1992,6.5,8500.0,RowdyHerrington,DjordjeMilicevic,JamesMarshall,UnitedStates,20000000.0,9223441.0,ColumbiaPictures,101.0,March,1175
SplitSecond,Action,1992,6.2,13000.0,TonyMaylam,GaryScottThompson,RutgerHauer,UnitedKingdom,7000000.0,5430822.0,ChallengeFilmCorporation,90.0,May,1176
TomandJerry:TheMovie,Animation,1992,5.4,10000.0,PhilRoman,DennisMarks,RichardKind,UnitedStates,8000000.0,3560469.0,TurnerPictures(I),84.0,July,1177
Toys,Adventure,1992,5.1,31000.0,BarryLevinson,ValerieCurtin,RobinWilliams,UnitedStates,43000000.0,23278931.0,BaltimorePictures,118.0,December,1178
1492:ConquestofParadise,Adventure,1992,6.5,29000.0,RidleyScott,RoseBosch,GerardDepardieu,UnitedKingdom,47000000.0,7191399.0,Gaumont,154.0,October,1179
PureCountry,Drama,1992,7.0,4100.0,ChristopherCain,RexMcGee,GeorgeStrait,UnitedStates,10000000.0,15164458.0,WarnerBros,112.0,October,1180
Boomerang,Comedy,1992,5.5,27000.0,ReginaldHudlin,BarryWBlaustein,EddieMurphy,UnitedStates,42000000.0,131052444.0,ParamountPictures,117.0,July,1181
ThePowerofOne,Drama,1992,7.2,9500.0,JohnGAvildsen,BryceCourtenay,StephenDorff,Australia,18000000.0,2827107.0,AlcorFilms,127.0,March,1182
MedicineMan,Adventure,1992,6.0,22000.0,JohnMcTiernan,TomSchulman,SeanConnery,UnitedStates,40000000.0,45500797.0,HollywoodPictures,106.0,February,1183
HoneymooninVegas,Comedy,1992,5.8,17000.0,AndrewBergman,AndrewBergman,JamesCaan,UnitedStates,25000000.0,35208854.0,CastleRockEntertainment,96.0,August,1184
Thunderheart,Crime,1992,6.8,15000.0,MichaelApted,JohnFusco,ValKilmer,UnitedStates,15000000.0,22660758.0,TriStarPictures,119.0,April,1185
Stop!OrMyMomWillShoot,Action,1992,4.3,39000.0,RogerSpottiswoode,BlakeSnyder,SylvesterStallone,UnitedStates,45000000.0,70611210.0,NorthernLightsEntertainment,87.0,February,1186
InnocentBlood,Action,1992,6.2,9500.0,JohnLandis,MichaelWolk,AnneParillaud,UnitedStates,20000000.0,4943279.0,WarnerBros,112.0,September,1187
LorenzosOil,Biography,1992,7.3,21000.0,GeorgeMiller,GeorgeMiller,NickNolte,UnitedStates,30000000.0,7286388.0,UniversalPictures,129.0,January,1188
FinalAnalysis,Drama,1992,5.9,14000.0,PhilJoanou,RobertBerger,RichardGere,UnitedStates,32000000.0,28590665.0,WarnerBros,124.0,February,1189
StayTuned,Adventure,1992,6.2,11000.0,PeterHyams,TomSParker,JohnRitter,UnitedStates,25000000.0,10736401.0,MorganCreekEntertainment,88.0,August,1190
ConsentingAdults,Crime,1992,5.7,7000.0,AlanJPakula,MatthewChapman,KevinKline,UnitedStates,18000000.0,21591728.0,HollywoodPictures,99.0,October,1191
Fortress,Action,1992,5.9,28000.0,StuartGordon,TroyNeighbors,ChristopherLambert,Australia,8000000.0,6739141.0,DavisEntertainment,95.0,September,1192
OnceUponaCrime,Comedy,1992,5.9,4100.0,EugeneLevy,RodolfoSonego,JohnCandy,UnitedStates,18000000.0,8669847.0,AscotFilm,94.0,March,1193
MomandDadSavetheWorld,Adventure,1992,5.4,4400.0,GregBeeman,ChrisMatheson,TeriGarr,UnitedStates,14000000.0,2034470.0,HomeBoxOffice(HBO),88.0,July,1194
Supercop,Action,1992,6.9,20000.0,StanleyTong,EdwardTang,JackieChan,HongKong,900000.0,16270600.0,GoldenHarvestCompany,91.0,July,1195
Jennifer8,Crime,1992,6.3,16000.0,BruceRobinson,BruceRobinson,AndyGarcia,Canada,20000000.0,11390479.0,ParamountPictures,124.0,November,1196
MemoirsofanInvisibleMan,Comedy,1992,6.0,23000.0,JohnCarpenter,HFSaint,ChevyChase,UnitedStates,40000000.0,14358033.0,WarnerBros,99.0,February,1197
PetersFriends,Comedy,1992,7.0,11000.0,KennethBranagh,RitaRudner,HughLaurie,UnitedKingdom,5000000.0,4058564.0,BritishBroadcastingCorporation(BBC),101.0,December,1198
Freejack,Action,1992,5.4,15000.0,GeoffMurphy,RobertSheckley,EmilioEstevez,UnitedStates,30000000.0,17129026.0,MorganCreekEntertainment,110.0,January,1199
